7954	3991	4024	3976	4020	3962	4140	4118	4165	4031	105	106	5325	4701	4657	4817	4823	4597	4651	4655	4752	4788	125	98	6259	2960	2969	3043	3019	3071	3104	3076	3084	3119	114	92	7835	3901	3995	3882	3927	3802	3956	3981	3870	3995	118	113	4265	3421	3450	3445	3342	3377	3362	3429	3424	3505	123	98	4814	4018	4147	4035	4085	3963	4042	4096	4054	4114	135	93	7904	3523	3555	3552	3447	3469	3454	3466	3487	3532	127	95	7326	3825	3854	3871	3873	3828	3884	3888	4002	3949	115	111
8331	4175	4233	4209	4227	4221	4296	4311	4321	4286	93	102	5450	5068	4971	4958	5069	5010	5123	4918	5077	5113	134	92	6439	3018	3038	3110	3109	2993	3150	3129	3202	3221	122	107	8916	3994	4002	4028	4169	4094	4127	4141	4170	4127	127	94	4207	3374	3529	3475	3483	3330	3477	3523	3560	3503	136	99	4751	3977	4092	4124	4028	3965	3986	4011	4037	4055	112	103	9134	3678	3691	3836	3744	3666	3766	3804	3862	3876	124	100	7577	3873	4068	4044	4085	3944	4120	4095	4221	4140	111	113
9194	4130	4543	4655	4614	4747	4883	4883	4920	4719	112	88	5901	5221	5599	5638	5512	5455	5603	5537	5612	5587	132	101	7112	3045	3208	3312	3294	3292	3361	3458	3459	3333	129	91	10538	4135	4486	4505	4543	4443	4632	4656	4565	4710	123	101	4322	3426	3736	3607	3720	3742	3712	3754	3841	3921	128	99	4866	3959	4191	4237	4244	4238	4248	4253	4410	4310	114	101	10643	4114	4181	4271	4262	4379	4430	4431	4487	4404	131	89	8168	4136	4298	4449	4604	4519	4527	4639	4603	4598	105	122
10103	4245	5023	5401	5577	5564	5830	5939	5938	5721	91	101	6640	5424	6022	6149	6169	6246	6346	6352	6323	6377	121	101	8177	2968	3352	3628	3690	3760	3893	3948	3919	3885	133	86	12230	4181	4857	5193	5369	5418	5533	5523	5542	5573	124	109	4805	3498	3930	4236	4296	4342	4367	4410	4367	4516	132	88	5036	4007	4436	4669	4621	4676	4627	4715	4793	4882	138	94	12595	4558	4837	5051	5288	5483	5481	5366	5439	5498	133	107	9053	4377	4733	5089	5241	5310	5339	5406	5409	5444	111	102
11440	4404	5343	6016	6497	6774	6997	7219	7252	6797	86	89	8031	5623	6620	6884	7167	7192	7213	7242	7169	7265	140	98	9589	3117	3684	4030	4263	4543	4659	4729	4759	4751	142	94	14143	4277	5189	5742	6411	6503	6680	6907	6778	6788	142	93	5467	3530	4399	4903	5182	5202	5251	5388	5367	5475	147	100	5578	4013	4744	5088	5390	5399	5451	5550	5605	5648	155	96	14572	5091	5716	6065	6325	6701	6829	6779	6859	6994	150	97	10401	4698	5347	5797	6267	6345	6374	6548	6624	6553	108	93
12965	4393	5768	6803	7593	8156	8405	8590	8881	8267	95	81	9309	5709	7129	7817	8036	8094	8021	8029	8233	8257	143	92	11111	3199	3699	4325	5007	5439	5817	5720	5717	5766	130	108	16033	4421	5580	6565	7235	7668	8105	8203	8227	8223	144	104	6490	3525	4643	5502	6037	6251	6310	6555	6619	6685	142	101	6228	4025	5053	5640	6074	6433	6516	6633	6659	6742	137	93	16618	5900	6546	7132	7658	8106	8593	8441	8370	8450	143	91	11773	4944	5829	6633	7443	7602	7972	7892	7959	7888	97	95
14568	4387	5974	7350	8816	9632	10131	10250	10321	10108	94	97	10992	5667	7731	8637	8846	9008	9153	9128	9268	9224	153	105	12551	3239	3960	4693	5918	6397	6930	6982	7055	7143	151	98	18019	4285	5803	7155	8419	9044	9673	9909	9850	10018	148	94	7943	3530	4848	6029	7088	7373	7657	7815	7925	7906	144	106	7184	4036	5375	6209	7155	7528	7765	7810	7815	7895	143	105	18494	6814	7626	8592	9306	10206	10424	10410	10515	10688	157	102	13163	5261	6532	7554	8610	8960	9216	9508	9798	9555	99	99
16325	4508	6238	7992	10184	11428	12080	12079	12363	11771	96	96	12855	5767	8050	9293	9938	9822	10263	10239	10414	10382	170	97	14399	3217	4076	4983	6706	7741	8363	8566	8476	8582	150	110	19813	4351	6156	7639	9508	10713	11494	11685	11735	11908	162	107	9444	3521	5069	6457	7842	8701	9040	9328	9197	9459	156	98	8424	4150	5559	6837	8394	8592	9223	9203	9153	9166	149	100	20373	7618	8860	9943	11208	12177	12529	12705	12830	13117	150	97	14719	5739	7271	8367	9982	10614	11376	11250	11600	11396	103	97
18487	4566	6361	8665	11495	13395	14344	14755	15200	14147	96	96	15275	5723	8452	10249	11295	11360	11666	11664	11677	11585	147	93	16353	3294	4232	5332	7712	9412	10165	10424	10592	10681	177	98	21770	4499	6328	8042	10771	12477	13440	13696	13642	13739	170	107	11490	3514	5269	6810	9069	10131	10527	10882	11188	11258	153	92	10019	4054	5673	7104	9193	10092	10739	10937	10855	11050	164	95	22746	8566	10782	11707	13290	14637	15139	15512	15458	16018	169	98	16759	6047	7954	9421	11387	12523	13291	13761	13726	13770	98	111
21217	4626	6666	8908	12979	15856	17039	17724	17973	17445	78	90	18926	5595	8693	11080	12265	12833	13139	13117	13221	13201	159	96	18447	3445	4541	5708	8502	11285	12378	12850	12930	13011	178	97	24342	4384	6462	8322	11799	14317	15740	16509	16306	16400	168	102	14082	3565	5327	7109	10041	11598	12528	13215	13207	13234	187	92	11721	4132	6051	7784	10346	11874	12606	12849	13010	13028	164	106	25216	9612	12344	13318	15545	17556	18365	18961	18712	19066	205	116	19095	6737	9009	10545	13051	15041	16000	16185	16702	16537	94	110
24270	4793	7099	9583	14647	19039	20759	21665	21786	21048	101	96	22554	5772	9121	12109	13935	14702	14980	14787	15352	15137	186	96	21193	3667	4932	6268	9670	13281	15221	15644	16364	16087	182	105	27395	4474	6560	8764	12853	16321	18157	19109	19525	19617	193	96	16991	3577	5533	7524	11297	13837	14899	15610	15821	15844	187	94	14173	4309	6381	8304	11606	13985	15189	15382	15518	15904	187	99	28038	10642	14562	15888	18142	21419	22125	22832	23125	23852	181	91	21890	7299	10164	12005	15289	17814	19461	19728	20084	20167	105	100
28035	4890	7371	10134	16533	22709	25147	26024	26314	26110	95	91	26844	5700	9425	12970	15710	16709	17316	17314	17671	17289	199	93	24472	3722	5271	6742	10664	16039	18995	19629	20386	20376	175	85	30583	4406	6662	8952	13945	19290	21365	22336	22658	22715	195	95	20638	3594	5657	7716	12503	15976	18129	18569	19014	19377	193	105	16643	4386	6788	8892	12897	16454	18107	18665	18675	19350	203	97	31912	11854	17334	19061	21516	25096	26993	28074	28158	28911	202	91	25182	7698	11369	13485	17468	20812	23011	23847	24360	24328	95	90
32101	5194	7909	10777	18251	26447	30298	31147	31536	31213	90	113	32012	5769	9725	13978	17996	19491	20121	20224	20286	20332	214	106	28436	4026	5982	7541	11928	18957	22987	24278	25525	25255	212	102	35010	4459	6851	9229	15460	21656	25320	26318	26979	27185	207	95	24780	3623	5932	8124	13329	18532	21291	22211	22989	23472	205	96	20356	4532	7341	9612	14499	19426	21859	22779	23479	23525	211	104	35765	13308	20999	22442	25262	30164	32196	34085	34664	35680	214	99	29441	8606	13205	15226	20090	24852	27800	28912	29842	30082	104	104
36786	5411	8561	11594	20271	30654	35812	37014	37756	37821	92	85	38506	5843	10095	15383	20290	22386	23530	23436	23733	23683	227	98	32699	4175	6653	8309	13192	21683	27606	29812	30096	31196	212	90	39303	4510	7275	9707	16396	24599	29106	31027	31380	32181	237	87	29705	3736	6195	8495	14325	21456	25147	26608	27118	28122	233	102	24520	4724	8132	10277	16134	22693	26157	27410	27994	28442	228	108	39731	14899	24460	25860	29181	34759	37770	39766	41014	42079	227	103	33838	9735	14780	17178	22456	28802	32631	34263	35129	36051	102	101
41763	5842	9678	12587	22002	34750	42039	43578	44806	45136	105	103	45635	5916	10552	16125	22926	26353	27097	27759	27797	27663	250	99	37093	4505	7659	9445	14555	24524	31596	34875	36676	37543	257	100	42732	4640	7604	10215	17254	27949	33559	35994	36679	37614	248	94	34658	3865	6463	8829	15346	24585	29774	31553	32377	33389	241	104	29376	4992	8916	11377	17690	26151	30862	32270	33291	33728	250	99	44724	16471	27821	29599	33137	39653	43232	45742	46741	48894	252	96	38837	10366	16957	19366	25173	33163	37969	39708	41385	42597	102	98
47467	6132	10478	13857	23624	38080	47979	49820	51216	52202	105	84	53016	5902	10933	17160	26060	30107	31522	31967	32135	32561	257	98	41525	4908	8681	10845	15811	27491	36845	40695	42724	44417	292	100	46727	4641	8072	10607	18469	30542	38140	41600	42248	43754	260	100	39186	3926	6775	9069	15987	27105	33926	36489	37751	38524	270	94	34583	5148	9898	12436	19140	29290	35518	37870	38547	39774	267	90	49710	18352	30601	33140	37174	44710	49515	52095	53412	55299	270	98	44131	11267	18777	21701	27924	37245	44029	46193	47651	49091	111	103
52082	6724	11560	14898	25550	41367	53947	57035	58672	60348	97	98	60848	6095	11298	18291	28854	33946	36311	36670	37483	37597	274	92	46207	5215	9649	12301	17141	29644	41417	46303	49617	51073	305	87	51289	4830	8579	11393	19282	32855	42209	46490	47838	49289	295	82	44534	3976	7200	9490	16728	29303	37626	41035	42702	44445	290	106	40295	5509	11065	13716	21094	32936	40575	43529	44456	46481	292	99	54642	19501	33319	36578	40376	49703	55326	58520	60711	63328	306	95	50269	12364	20958	23733	30410	41370	49209	52571	54033	55067	101	107
56327	6948	12345	15874	26475	43622	59316	62884	65731	68270	101	87	67625	6087	11446	18758	31556	38776	41266	41852	42360	42596	311	86	50722	5750	10650	13505	18665	31500	45495	51501	56144	57461	322	97	56870	5024	9147	11839	19857	34884	46477	51426	53685	55151	326	95	49853	4024	7537	10169	17426	31457	41850	45895	48597	49645	329	91	45239	5817	11964	15308	22675	35734	44892	48606	50346	53045	318	98	60446	20212	35521	39367	43714	52903	59709	64609	66180	69535	322	109	55794	13579	22557	25611	33489	45238	54603	58247	61246	63396	104	92
62381	7211	12810	16926	27102	45072	62444	66802	70482	73944	93	101	73069	6019	11976	19509	33606	42522	45583	46576	47934	48081	365	97	55375	5865	11303	14607	19847	32768	47156	55044	62429	64257	348	94	62434	4987	9439	12550	20675	36658	50960	56708	60698	62464	374	101	52447	4191	7780	10545	17769	32732	46217	51336	53406	56727	378	98	51783	6307	12878	16625	23878	38268	49692	54596	56819	59357	361	94	67015	20840	37812	42427	47004	56269	63306	68852	71988	75883	384	98	62470	14026	24023	27285	35062	47822	58462	63925	66972	70549	97	102
67549	7481	13938	17977	28754	46060	65469	70425	74863	78904	88	104	77828	6163	12245	19883	35648	46120	50956	51728	53102	53179	410	111	60465	6196	11776	15056	20433	33493	48778	57654	66096	68087	409	101	67220	5174	9630	12846	21024	37286	53878	61585	65780	68963	403	91	55187	4223	7929	10935	18350	33986	48531	55298	59352	63176	417	102	56201	6332	13857	17566	25301	39540	52707	59607	62447	66182	414	100	72111	21156	39582	45678	50520	60579	67620	73481	77327	81645	420	96	68635	14523	24944	28480	35972	49760	60864	67986	72104	76660	105	102
71205	7868	15359	19575	29792	47823	67952	75321	78986	84270	102	95	82231	6129	12451	20519	37663	49610	55018	55905	57303	58354	459	106	64787	6383	12462	16424	21965	34516	50860	60583	69668	72656	469	95	70956	5032	9982	13097	21070	37833	55292	64754	70273	74528	464	95	57070	4363	8123	11135	18343	34241	50175	58228	62995	68011	465	105	59270	6471	14325	18393	25864	40739	54697	63117	66179	70978	494	90	77150	21288	42970	49985	55630	65499	72762	78915	82657	88837	479	95	73514	14911	25890	30155	38374	50766	63120	70973	76214	80303	94	104
74595	8069	16912	21431	32049	49789	71516	79492	83842	89502	105	92	86243	6286	12457	20501	38112	52749	59134	60472	62030	64218	530	90	68347	6671	13543	18101	23465	37066	52093	63648	74744	78784	511	95	75434	5258	10426	13878	21699	38478	56238	67218	73408	78355	559	104	60467	4418	8426	11645	18795	34475	51460	61256	66912	71577	552	105	60849	6838	15115	19757	27492	42165	56219	65383	69485	74345	544	97	81211	21705	46462	54470	60302	69786	77877	85703	89994	95505	537	100	77084	15208	27900	32356	40208	53052	65855	74212	81198	85379	102	90
78682	8594	18435	23320	34100	52235	75092	84926	90331	96266	113	108	91802	6442	12605	20695	39142	54836	63973	65707	68021	69481	642	94	71845	6837	15018	20013	25536	38722	56193	67672	80240	84365	607	106	79595	5282	10927	14445	22377	38719	58738	69734	78441	82835	618	86	64690	4498	8953	11990	19091	34965	53377	64337	69847	75684	592	100	63937	6844	16017	21143	29129	43057	58871	69105	74096	79383	598	109	85025	22381	49499	58414	64871	74634	83386	91574	96427	103065	593	91	80308	15368	29654	35090	43114	55864	69326	79081	85795	89822	103	98
82402	8776	20534	25387	36507	54581	79308	90149	96952	103505	113	103	96819	6440	12288	20823	39403	57137	67931	69171	72507	74405	690	92	75689	7208	16640	22288	28125	41132	59025	74014	87377	92077	673	94	84133	5453	11624	15527	23455	39659	59916	73842	81748	87369	660	105	69664	4596	9341	12716	19909	35643	55008	67477	74100	79913	688	102	67827	7085	17743	23447	31068	45684	61988	72694	78748	84977	684	92	90088	22893	53094	63758	69106	79968	89264	99227	103787	112318	709	99	84973	15755	32148	37675	46153	59049	73699	84989	91453	97841	109	88
86940	9256	22465	28109	39084	57474	84091	97927	105452	111744	110	98	102365	6483	12636	20874	39751	58331	70388	73839	76509	80122	741	100	80066	7794	18390	24615	31074	43538	63089	79482	94589	99665	770	88	87131	5620	12288	16237	24501	40234	61811	76986	85843	91555	762	111	75517	4824	9937	13561	20971	36217	56323	71386	77543	85088	765	93	72198	7275	19135	25968	33985	47843	64817	77477	82367	89665	744	114	95320	24205	56852	66623	74635	84680	95513	105763	112817	119163	799	88	88951	16478	35024	40540	48809	62509	78139	90669	98139	104728	110	106
91440	9730	24893	30096	41488	60248	88228	105528	113464	120066	91	96	109090	6492	12924	21341	39749	58714	73471	78028	80304	84941	839	87	85007	8129	20818	27290	33883	46408	67387	86128	100334	107561	875	102	91657	5730	13007	17399	25244	40877	63984	80966	90251	97258	868	89	82723	4879	10786	14304	21530	37401	59297	74080	82920	90474	870	104	76769	7507	21157	28023	36676	51175	69056	82342	89470	96812	854	98	99081	24887	59419	70033	78309	88446	99885	110514	117371	124615	921	102	93597	17026	37393	43423	52122	66866	83146	97120	105738	113702	109	87
96736	10342	26828	32615	43034	62637	92163	111383	119493	127133	94	98	117539	6710	13194	21847	40340	60179	76712	82413	85293	89780	982	105	90011	8760	23022	29853	36187	48755	70893	93012	107895	117011	985	101	96728	6061	13961	18872	27061	42457	67295	85998	96169	102126	966	104	91661	4992	11482	15538	23145	38381	62471	79259	88093	96635	948	94	83507	7910	23031	30934	39932	54502	73740	90064	96167	103547	990	96	104553	25619	62086	72270	81358	90565	103216	115313	122445	129230	987	100	98535	18047	40693	46589	55812	70021	89340	104960	114157	122632	106	96
102948	10818	28245	34507	45439	64367	94494	114913	123762	131584	89	117	124425	6797	13606	22094	40623	61585	82042	85977	90002	95219	1059	98	96277	9181	24993	31842	38428	51449	74149	98814	113166	124263	1083	106	101545	6010	14812	20036	28351	43708	69882	90240	102003	108668	1094	96	100905	5281	12285	16668	23857	39603	64594	84181	94482	103288	1039	107	91777	8159	24869	34279	43344	57884	79259	97072	104147	110949	1097	93	110088	26336	63783	74778	84231	93449	106862	118936	126701	132219	1114	106	103690	18423	43248	48705	58489	73834	93299	110648	121740	130129	98	95
109423	11139	30041	36544	47328	66453	98961	120055	128549	137401	98	109	130314	6926	14187	22736	41816	63518	84746	91208	94905	100165	1190	94	102178	9630	26765	33576	41348	53302	76844	103802	118211	130084	1174	101	107738	6388	15871	21765	29882	45521	73884	96032	107323	115229	1222	101	108204	5565	13454	18061	25536	41283	68288	90110	100825	111133	1164	92	99915	8677	27263	37160	46107	61694	83695	104381	111714	120723	1186	102	114914	26918	64799	76711	86058	95274	107459	122557	129460	135504	1239	89	110800	18882	45509	50988	60722	76456	99303	118254	127534	136203	103	105
