,Finf,xc,n,L1,B1,log_k1,n1,distance
sg1,0.01958364801772705,-1.1676036964782048,1.0129607955567708,0.03263966919976381,1.0168173298715797,-4.6483394558918985,1.6922224866037323,0.0019115586452424123
sg2,0.0041179775324399585,-0.6560786880006781,2.70350475845917,0.03236451195390097,0.8677007465277395,-4.3593821983289365,1.067535527195082,0.0006811412259431441
sg3,0.009686926157742356,-0.7835446477770311,1.2324371784690338,0.05756204295322216,1.314600340436431,-4.619783296606674,1.397465568478367,0.0006237158503239744
sg4,0.009516561789842637,-0.8958776024205849,1.283657033060627,0.061058070038745554,1.0531841680869973,-4.348019879570558,1.1224661308309507,0.0016399205175967213
sg5,0.01928756527497739,-1.1479119829553373,1.1389306500484493,0.02197877342644114,1.3686365819541493,-4.004755366551798,1.0599333766997168,0.0009599711963466026
sg6,0.005143366140280417,-0.5867705013480735,2.2219699614529986,0.0941186968172349,0.6966944093097017,-4.742965768014072,1.0047497443710884,0.002920592567059947
sg1t4,0.008054285268579197,-0.7490843608885233,1.9466517869745035,0.07592950594584391,0.6731849770997067,-4.722915823841451,1.27310042830798,0.0016719061651560363
sg4t4,0.05061940435274631,-1.0522646803359754,1.4448392351475887,0.06426313616181696,0.6340243074299959,-4.579228539768667,1.22478591823706,0.001255220427088308
